iter	Passed	Remaining
0	132	131993
1	138	69049
2	144	48029
3	150	37468
4	156	31169
5	162	27001
6	169	24006
7	175	21789
8	181	20026
9	187	18609
10	194	17446
11	200	16482
12	206	15658
13	211	14930
14	217	14276
15	222	13694
16	227	13178
17	233	12717
18	238	12305
19	243	11924
20	249	11650
21	255	11339
22	260	11049
23	265	10789
24	270	10548
25	275	10327
26	280	10113
27	286	9928
28	291	9752
29	296	9582
30	301	9415
31	306	9259
32	311	9114
33	316	8984
34	321	8856
35	326	8737
36	331	8625
37	336	8527
38	342	8430
39	347	8331
40	352	8237
41	357	8155
42	362	8068
43	367	7983
44	372	7906
45	377	7832
46	382	7755
47	387	7687
48	392	7617
49	397	7552
50	402	7486
51	407	7424
52	412	7364
53	417	7311
54	422	7258
55	427	7206
56	432	7154
57	437	7105
58	442	7053
59	446	7002
60	451	6956
61	456	6913
62	461	6869
63	466	6829
64	471	6781
65	475	6734
66	480	6685
67	484	6635
68	488	6590
69	493	6557
70	498	6525
71	503	6493
72	508	6458
73	512	6416
74	517	6378
75	521	6341
76	525	6303
77	530	6272
78	535	6243
79	540	6211
80	544	6181
81	549	6150
82	554	6121
83	558	6093
84	563	6067
85	567	6036
86	572	6010
87	577	5985
88	582	5962
89	587	5935
90	591	5907
91	596	5883
92	600	5859
93	605	5833
94	609	5810
95	615	5792
96	619	5771
97	624	5750
98	628	5724
99	633	5700
100	637	5674
101	641	5648
102	645	5622
103	650	5604
104	654	5579
105	658	5555
106	662	5532
107	667	5510
108	671	5485
109	675	5461
110	679	5438
111	683	5421
112	688	5400
113	691	5377
114	696	5361
115	701	5343
116	705	5328
117	710	5313
118	714	5293
119	718	5271
120	722	5250
121	726	5229
122	730	5208
123	734	5188
124	738	5170
125	742	5153
126	746	5134
127	751	5116
128	755	5101
129	759	5084
130	764	5068
131	768	5054
132	773	5040
133	777	5025
134	781	5006
135	785	4990
136	789	4972
137	793	4953
138	796	4936
139	800	4918
140	804	4900
141	808	4883
142	811	4865
143	815	4849
144	819	4832
145	823	4814
146	826	4798
147	830	4782
148	834	4766
149	838	4750
150	842	4735
151	845	4719
152	849	4703
153	853	4688
154	857	4673
155	860	4658
156	864	4642
157	868	4628
158	872	4613
159	875	4598
160	879	4584
161	883	4570
162	887	4556
163	891	4542
164	895	4529
165	898	4516
166	902	4502
167	906	4489
168	910	4475
169	913	4462
170	917	4449
171	921	4436
172	925	4423
173	929	4411
174	933	4401
175	937	4388
176	941	4378
177	945	4365
178	949	4353
179	953	4341
180	957	4330
181	960	4318
182	964	4306
183	968	4294
184	972	4283
185	976	4272
186	979	4260
187	983	4248
188	987	4237
189	991	4226
190	995	4215
191	998	4204
192	1002	4193
193	1006	4182
194	1010	4171
195	1014	4160
196	1017	4149
197	1021	4138
198	1025	4127
199	1029	4117
200	1033	4107
201	1037	4097
202	1041	4087
203	1045	4077
204	1048	4067
205	1052	4057
206	1056	4048
207	1060	4037
208	1064	4027
209	1067	4017
210	1071	4007
211	1075	3998
212	1079	3988
213	1083	3978
214	1087	3969
215	1090	3959
216	1094	3949
217	1098	3940
218	1102	3931
219	1106	3922
220	1110	3913
221	1113	3903
222	1117	3894
223	1121	3885
224	1125	3876
225	1129	3867
226	1133	3859
227	1137	3850
228	1140	3841
229	1144	3832
230	1148	3823
231	1152	3814
232	1156	3805
233	1159	3796
234	1163	3788
235	1167	3779
236	1171	3770
237	1174	3761
238	1178	3753
239	1182	3744
240	1186	3735
241	1190	3727
242	1194	3720
243	1197	3711
244	1201	3702
245	1205	3694
246	1209	3686
247	1213	3678
248	1216	3670
249	1220	3662
250	1224	3653
251	1228	3645
252	1232	3638
253	1236	3630
254	1239	3622
255	1243	3614
256	1247	3606
257	1251	3599
258	1255	3591
259	1259	3583
260	1263	3576
261	1266	3568
262	1271	3561
263	1274	3554
264	1278	3546
265	1282	3538
266	1286	3531
267	1290	3523
268	1293	3516
269	1297	3508
270	1301	3501
271	1305	3493
272	1309	3486
273	1312	3478
274	1316	3471
275	1320	3463
276	1324	3456
277	1328	3449
278	1331	3442
279	1335	3435
280	1340	3429
281	1343	3421
282	1347	3414
283	1351	3407
284	1355	3401
285	1359	3394
286	1363	3387
287	1367	3379
288	1370	3372
289	1374	3366
290	1378	3358
291	1382	3351
292	1386	3344
293	1389	3337
294	1393	3330
295	1397	3323
296	1401	3316
297	1405	3310
298	1408	3302
299	1412	3296
300	1416	3289
301	1420	3283
302	1424	3276
303	1428	3269
304	1432	3263
305	1435	3256
306	1439	3249
307	1443	3242
308	1447	3236
309	1451	3230
310	1455	3223
311	1459	3218
312	1463	3212
313	1467	3205
314	1471	3199
315	1474	3192
316	1478	3185
317	1482	3179
318	1486	3172
319	1490	3166
320	1493	3159
321	1497	3153
322	1501	3146
323	1505	3140
324	1508	3133
325	1512	3127
326	1516	3121
327	1520	3115
328	1524	3108
329	1527	3102
330	1531	3095
331	1536	3091
332	1542	3088
333	1546	3083
334	1550	3077
335	1553	3070
336	1557	3064
337	1561	3058
338	1565	3052
339	1569	3046
340	1573	3040
341	1577	3035
342	1581	3029
343	1585	3023
344	1589	3017
345	1593	3011
346	1597	3005
347	1600	2999
348	1604	2993
349	1608	2987
350	1612	2981
351	1616	2975
352	1620	2969
353	1623	2963
354	1627	2957
355	1631	2951
356	1635	2945
357	1639	2939
358	1643	2933
359	1646	2927
360	1650	2921
361	1654	2915
362	1658	2909
363	1661	2903
364	1665	2897
365	1669	2891
366	1673	2885
367	1676	2879
368	1680	2873
369	1684	2867
370	1688	2862
371	1692	2856
372	1695	2850
373	1699	2844
374	1703	2839
375	1707	2833
376	1711	2827
377	1715	2822
378	1718	2816
379	1722	2810
380	1726	2804
381	1730	2799
382	1734	2793
383	1737	2787
384	1741	2782
385	1745	2776
386	1749	2771
387	1753	2765
388	1756	2759
389	1760	2753
390	1764	2748
391	1768	2742
392	1772	2737
393	1776	2731
394	1779	2726
395	1783	2720
396	1787	2714
397	1791	2709
398	1795	2703
399	1798	2698
400	1802	2692
401	1806	2687
402	1810	2681
403	1813	2675
404	1817	2670
405	1821	2664
406	1825	2659
407	1828	2653
408	1832	2648
409	1836	2643
410	1840	2637
411	1844	2632
412	1848	2626
413	1851	2621
414	1855	2616
415	1859	2610
416	1863	2605
417	1867	2599
418	1871	2594
419	1874	2588
420	1878	2583
421	1882	2578
422	1886	2573
423	1890	2568
424	1894	2562
425	1898	2557
426	1902	2552
427	1905	2547
428	1909	2541
429	1914	2537
430	1918	2532
431	1922	2527
432	1926	2522
433	1930	2517
434	1934	2512
435	1938	2507
436	1941	2501
437	1945	2496
438	1949	2491
439	1953	2485
440	1957	2481
441	1961	2475
442	1965	2470
443	1968	2465
444	1972	2460
445	1976	2455
446	1980	2450
447	1984	2445
448	1988	2440
449	1992	2434
450	1995	2429
451	1999	2424
452	2002	2418
453	2006	2412
454	2010	2407
455	2013	2402
456	2017	2397
457	2021	2392
458	2025	2386
459	2028	2381
460	2032	2376
461	2036	2371
462	2040	2366
